time_sec,hour_of_day,power_mw,wind_speed_mph
19440,5.4,11.928,10.92
19450,5.4,11.734,10.83
19460,5.41,11.195,10.58
19470,5.41,11.083,10.53
19480,5.41,11.082,10.53
19490,5.41,10.682,10.34
19500,5.42,11.007,10.49
19510,5.42,10.746,10.37
19520,5.42,10.623,10.31
19530,5.42,10.604,10.3
19540,5.43,10.508,10.25
19550,5.43,9.984,9.99
19560,5.43,10.361,10.18
19570,5.44,10.781,10.38
19580,5.44,11.161,10.56
19590,5.44,11.465,10.71
19600,5.44,11.651,10.79
19610,5.45,11.393,10.67
19620,5.45,11.119,10.54
19630,5.45,11.284,10.62
19640,5.46,11.599,10.77
19650,5.46,11.93,10.92
19660,5.46,12.065,10.98
19670,5.46,12.336,11.11
19680,5.47,12.256,11.07
19690,5.47,12.443,11.15
19700,5.47,12.323,11.1
19710,5.47,12.252,11.07
19720,5.48,12.089,11.0
19730,5.48,11.754,10.84
19740,5.48,11.926,10.92
19750,5.49,12.393,11.13
19760,5.49,11.815,10.87
19770,5.49,11.709,10.82
19780,5.49,11.408,10.68
19790,5.5,10.761,10.37
19800,5.5,11.319,10.64
19810,5.5,11.266,10.61
19820,5.51,10.952,10.47
19830,5.51,10.984,10.48
19840,5.51,10.696,10.34
19850,5.51,10.861,10.42
19860,5.52,11.018,10.5
19870,5.52,10.636,10.31
19880,5.52,10.267,10.13
19890,5.53,10.526,10.26
19900,5.53,10.699,10.34
19910,5.53,10.194,10.1
19920,5.53,10.11,10.05
19930,5.54,9.958,9.98
19940,5.54,10.157,10.08
19950,5.54,10.264,10.13
19960,5.54,10.421,10.21
19970,5.55,10.218,10.11
19980,5.55,10.415,10.21
19990,5.55,10.362,10.18
20000,5.56,10.776,10.38
20010,5.56,10.904,10.44
20020,5.56,11.214,10.59
20030,5.56,11.202,10.58
20040,5.57,11.3,10.63
20050,5.57,11.545,10.74
20060,5.57,11.651,10.79
20070,5.58,11.452,10.7
20080,5.58,11.257,10.61
20090,5.58,11.622,10.78
20100,5.58,11.595,10.77
20110,5.59,11.227,10.6
20120,5.59,11.386,10.67
20130,5.59,11.48,10.71
20140,5.59,11.654,10.8
20150,5.6,11.576,10.76
20160,5.6,11.768,10.85
20170,5.6,11.686,10.81
20180,5.61,11.738,10.83
20190,5.61,11.705,10.82
20200,5.61,11.183,10.57
20210,5.61,10.918,10.45
20220,5.62,10.902,10.44
20230,5.62,11.484,10.72
20240,5.62,11.066,10.52
20250,5.62,10.94,10.46
20260,5.63,10.889,10.44
20270,5.63,10.971,10.47
20280,5.63,11.203,10.58
20290,5.64,11.606,10.77
20300,5.64,11.004,10.49
20310,5.64,10.918,10.45
20320,5.64,11.131,10.55
20330,5.65,11.143,10.56
20340,5.65,11.117,10.54
20350,5.65,11.346,10.65
20360,5.66,11.722,10.83
20370,5.66,11.241,10.6
20380,5.66,11.461,10.71
20390,5.66,11.406,10.68
20400,5.67,10.997,10.49
20410,5.67,11.375,10.67
20420,5.67,11.212,10.59
20430,5.67,10.952,10.47
20440,5.68,10.89,10.44
20450,5.68,11.034,10.5
20460,5.68,10.736,10.36
20470,5.69,11.418,10.69
20480,5.69,11.515,10.73
20490,5.69,11.137,10.55
20500,5.69,10.83,10.41
20510,5.7,10.47,10.23
20520,5.7,10.317,10.16
20530,5.7,10.344,10.17
20540,5.71,10.834,10.41
20550,5.71,10.902,10.44
20560,5.71,11.092,10.53
20570,5.71,10.689,10.34
20580,5.72,10.924,10.45
20590,5.72,10.781,10.38
20600,5.72,10.788,10.39
20610,5.72,10.434,10.21
20620,5.73,10.59,10.29
20630,5.73,10.875,10.43
20640,5.73,10.759,10.37
20650,5.74,10.287,10.14
20660,5.74,10.676,10.33
20670,5.74,10.572,10.28
20680,5.74,10.52,10.26
20690,5.75,10.81,10.4
20700,5.75,10.885,10.43
20710,5.75,10.89,10.44
20720,5.76,11.065,10.52
20730,5.76,10.852,10.42
20740,5.76,10.827,10.41
20750,5.76,11.126,10.55
20760,5.77,10.548,10.27
20770,5.77,11.442,10.7
20780,5.77,11.122,10.55
20790,5.78,11.454,10.7
20800,5.78,11.074,10.52
20810,5.78,10.71,10.35
20820,5.78,10.486,10.24
20830,5.79,10.165,10.08
20840,5.79,10.134,10.07
20850,5.79,9.762,9.88
20860,5.79,9.07,9.52
20870,5.8,8.841,9.4
20880,5.8,9.02,9.5
20890,5.8,8.679,9.32
20900,5.81,8.893,9.43
20910,5.81,9.264,9.62
20920,5.81,8.904,9.44
20930,5.81,8.976,9.47
20940,5.82,8.897,9.43
20950,5.82,8.29,9.1
20960,5.82,8.408,9.17
20970,5.83,7.945,8.91
20980,5.83,8.029,8.96
20990,5.83,8.42,9.18
21000,5.83,9.292,9.64
21010,5.84,9.366,9.68
21020,5.84,9.327,9.66
21030,5.84,9.344,9.67
21040,5.84,9.216,9.6
21050,5.85,8.787,9.37
21060,5.85,8.964,9.47
21070,5.85,9.389,9.69
21080,5.86,9.618,9.81
21090,5.86,10.199,10.1
21100,5.86,9.982,9.99
21110,5.86,9.922,9.96
21120,5.87,9.681,9.84
21130,5.87,8.96,9.47
21140,5.87,9.543,9.77
21150,5.88,9.472,9.73
21160,5.88,9.429,9.71
21170,5.88,9.755,9.88
21180,5.88,9.828,9.91
21190,5.89,9.849,9.92
21200,5.89,9.686,9.84
21210,5.89,9.343,9.67
21220,5.89,9.266,9.63
21230,5.9,9.312,9.65
21240,5.9,9.16,9.57
21250,5.9,9.005,9.49
21260,5.91,8.826,9.39
21270,5.91,8.846,9.41
21280,5.91,9.422,9.71
21290,5.91,9.282,9.63
21300,5.92,9.413,9.7
21310,5.92,9.227,9.61
21320,5.92,9.848,9.92
21330,5.92,9.566,9.78
21340,5.93,9.891,9.95
21350,5.93,10.243,10.12
21360,5.93,10.046,10.02
21370,5.94,9.853,9.93
21380,5.94,9.771,9.88
21390,5.94,10.053,10.03
21400,5.94,9.872,9.94
21410,5.95,9.996,10.0
21420,5.95,9.8,9.9
21430,5.95,10.173,10.09
21440,5.96,10.355,10.18
21450,5.96,10.412,10.2
21460,5.96,10.418,10.21
21470,5.96,10.67,10.33
21480,5.97,10.364,10.18
21490,5.97,10.096,10.05
21500,5.97,9.744,9.87
21510,5.97,10.194,10.1
21520,5.98,10.299,10.15
21530,5.98,10.489,10.24
21540,5.98,10.604,10.3
21550,5.99,10.334,10.17
21560,5.99,10.362,10.18
21570,5.99,10.358,10.18
21580,5.99,10.117,10.06
21590,6.0,10.535,10.26
21600,6.0,10.265,10.13
21610,6.0,10.207,10.1
21620,6.01,10.199,10.1
21630,6.01,9.711,9.85
21640,6.01,9.216,9.6
21650,6.01,8.89,9.43
21660,6.02,8.713,9.33
21670,6.02,8.386,9.16
21680,6.02,8.259,9.09
21690,6.03,8.466,9.2
21700,6.03,8.278,9.1
21710,6.03,8.689,9.32
21720,6.03,8.527,9.23
21730,6.04,8.534,9.24
21740,6.04,8.385,9.16
21750,6.04,8.081,8.99
21760,6.04,7.479,8.65
21770,6.05,7.118,8.44
21780,6.05,7.244,8.51
21790,6.05,6.973,8.35
21800,6.06,6.655,8.16
21810,6.06,6.405,8.0
21820,6.06,6.837,8.27
21830,6.06,6.377,7.99
21840,6.07,6.208,7.88
21850,6.07,5.639,7.51
21860,6.07,5.995,7.74
21870,6.08,5.562,7.46
21880,6.08,5.666,7.53
21890,6.08,5.977,7.73
21900,6.08,5.92,7.69
21910,6.09,6.028,7.76
21920,6.09,6.367,7.98
21930,6.09,6.815,8.26
21940,6.09,6.523,8.08
21950,6.1,6.774,8.23
21960,6.1,6.689,8.18
21970,6.1,7.059,8.4
21980,6.11,7.086,8.42
21990,6.11,7.23,8.5
22000,6.11,7.672,8.76
22010,6.11,7.924,8.9
22020,6.12,7.488,8.65
22030,6.12,7.62,8.73
22040,6.12,7.256,8.52
22050,6.12,7.261,8.52
22060,6.13,7.572,8.7
22070,6.13,7.423,8.62
22080,6.13,7.406,8.61
22090,6.14,7.806,8.83
22100,6.14,7.579,8.71
22110,6.14,7.656,8.75
22120,6.14,7.513,8.67
22130,6.15,7.746,8.8
22140,6.15,8.002,8.95
22150,6.15,7.855,8.86
22160,6.16,8.073,8.99
22170,6.16,8.172,9.04
22180,6.16,9.001,9.49
22190,6.16,8.983,9.48
22200,6.17,8.609,9.28
22210,6.17,8.432,9.18
22220,6.17,8.614,9.28
22230,6.17,8.54,9.24
22240,6.18,8.89,9.43
22250,6.18,8.661,9.31
22260,6.18,8.759,9.36
22270,6.19,8.857,9.41
22280,6.19,9.299,9.64
22290,6.19,9.664,9.83
22300,6.19,9.27,9.63
22310,6.2,9.515,9.75
22320,6.2,9.077,9.53
22330,6.2,8.764,9.36
22340,6.21,8.717,9.34
22350,6.21,9.061,9.52
22360,6.21,9.154,9.57
22370,6.21,9.136,9.56
22380,6.22,8.721,9.34
22390,6.22,8.528,9.23
22400,6.22,8.186,9.05
22410,6.22,8.128,9.02
22420,6.23,8.396,9.16
22430,6.23,8.095,9.0
22440,6.23,7.894,8.89
22450,6.24,8.15,9.03
22460,6.24,8.255,9.09
22470,6.24,8.316,9.12
22480,6.24,7.974,8.93
22490,6.25,7.978,8.93
22500,6.25,7.855,8.86
22510,6.25,7.843,8.86
22520,6.26,7.847,8.86
22530,6.26,8.169,9.04
22540,6.26,8.246,9.08
22550,6.26,8.792,9.38
22560,6.27,8.724,9.34
22570,6.27,8.507,9.22
22580,6.27,8.618,9.28
22590,6.28,8.835,9.4
22600,6.28,8.98,9.48
22610,6.28,9.324,9.66
22620,6.28,9.607,9.8
22630,6.29,10.016,10.01
22640,6.29,10.028,10.01
22650,6.29,10.047,10.02
22660,6.29,10.197,10.1
22670,6.3,9.871,9.94
22680,6.3,10.174,10.09
22690,6.3,9.947,9.97
22700,6.31,9.483,9.74
22710,6.31,9.268,9.63
22720,6.31,8.71,9.33
22730,6.31,8.742,9.35
22740,6.32,8.333,9.13
22750,6.32,8.405,9.17
22760,6.32,8.217,9.06
22770,6.33,8.282,9.1
22780,6.33,8.166,9.04
22790,6.33,8.169,9.04
22800,6.33,8.455,9.2
22810,6.34,8.701,9.33
22820,6.34,8.672,9.31
22830,6.34,8.7,9.33
22840,6.34,8.752,9.36
22850,6.35,9.198,9.59
22860,6.35,9.166,9.57
22870,6.35,8.744,9.35
22880,6.36,8.378,9.15
22890,6.36,8.514,9.23
22900,6.36,8.068,8.98
22910,6.36,7.874,8.87
22920,6.37,6.928,8.32
22930,6.37,7.447,8.63
22940,6.37,7.499,8.66
22950,6.38,7.193,8.48
22960,6.38,7.445,8.63
22970,6.38,7.432,8.62
22980,6.38,7.38,8.59
22990,6.39,7.421,8.61
23000,6.39,7.681,8.76
23010,6.39,7.651,8.75
23020,6.39,7.161,8.46
23030,6.4,7.04,8.39
23040,6.4,6.701,8.19
23050,6.4,6.819,8.26
23060,6.41,6.988,8.36
23070,6.41,7.179,8.47
23080,6.41,7.276,8.53
23090,6.41,7.558,8.69
23100,6.42,7.799,8.83
23110,6.42,7.882,8.88
23120,6.42,7.788,8.83
23130,6.42,7.622,8.73
23140,6.43,8.327,9.13
23150,6.43,8.34,9.13
23160,6.43,8.016,8.95
23170,6.44,7.848,8.86
23180,6.44,7.759,8.81
23190,6.44,8.299,9.11
23200,6.44,8.017,8.95
23210,6.45,8.104,9.0
23220,6.45,8.873,9.42
23230,6.45,9.693,9.85
23240,6.46,9.932,9.97
23250,6.46,9.937,9.97
23260,6.46,9.845,9.92
23270,6.46,9.511,9.75
23280,6.47,9.377,9.68
23290,6.47,9.439,9.72
23300,6.47,9.624,9.81
23310,6.47,9.107,9.54
23320,6.48,9.059,9.52
23330,6.48,8.732,9.34
23340,6.48,9.188,9.59
23350,6.49,9.198,9.59
23360,6.49,9.286,9.64
23370,6.49,8.925,9.45
23380,6.49,8.926,9.45
23390,6.5,8.918,9.44
23400,6.5,8.725,9.34
23410,6.5,8.526,9.23
23420,6.51,8.282,9.1
23430,6.51,8.244,9.08
23440,6.51,7.882,8.88
23450,6.51,8.187,9.05
23460,6.52,7.875,8.87
23470,6.52,8.154,9.03
23480,6.52,7.476,8.65
23490,6.53,7.441,8.63
23500,6.53,7.51,8.67
23510,6.53,7.549,8.69
23520,6.53,7.749,8.8
23530,6.54,7.775,8.82
23540,6.54,7.53,8.68
23550,6.54,7.18,8.47
23560,6.54,7.838,8.85
23570,6.55,7.721,8.79
23580,6.55,7.483,8.65
23590,6.55,7.818,8.84
23600,6.56,8.19,9.05
23610,6.56,8.264,9.09
23620,6.56,8.66,9.31
23630,6.56,8.22,9.07
23640,6.57,8.368,9.15
23650,6.57,7.971,8.93
23660,6.57,7.941,8.91
23670,6.58,7.848,8.86
23680,6.58,7.766,8.81
23690,6.58,7.508,8.66
23700,6.58,7.261,8.52
23710,6.59,7.235,8.51
23720,6.59,6.971,8.35
23730,6.59,7.013,8.37
23740,6.59,6.834,8.27
23750,6.6,6.544,8.09
23760,6.6,6.913,8.31
23770,6.6,7.146,8.45
23780,6.61,7.021,8.38
23790,6.61,6.989,8.36
23800,6.61,7.265,8.52
23810,6.61,7.547,8.69
23820,6.62,7.689,8.77
23830,6.62,7.78,8.82
23840,6.62,7.983,8.93
23850,6.62,8.171,9.04
23860,6.63,7.934,8.91
23870,6.63,7.844,8.86
23880,6.63,8.271,9.09
23890,6.64,8.283,9.1
23900,6.64,7.84,8.85
23910,6.64,7.729,8.79
23920,6.64,7.457,8.64
23930,6.65,8.001,8.94
23940,6.65,7.977,8.93
23950,6.65,8.5,9.22
23960,6.66,7.937,8.91
23970,6.66,8.078,8.99
23980,6.66,8.159,9.03
23990,6.66,8.571,9.26
24000,6.67,8.774,9.37
24010,6.67,8.486,9.21
24020,6.67,8.255,9.09
24030,6.67,8.537,9.24
24040,6.68,8.473,9.2
24050,6.68,8.263,9.09
24060,6.68,8.353,9.14
24070,6.69,8.629,9.29
24080,6.69,8.329,9.13
24090,6.69,8.579,9.26
24100,6.69,8.389,9.16
24110,6.7,8.025,8.96
24120,6.7,7.715,8.78
24130,6.7,8.048,8.97
24140,6.71,8.065,8.98
24150,6.71,8.068,8.98
24160,6.71,8.639,9.29
24170,6.71,8.796,9.38
24180,6.72,8.668,9.31
24190,6.72,8.832,9.4
24200,6.72,8.641,9.3
24210,6.72,8.476,9.21
24220,6.73,8.914,9.44
24230,6.73,8.642,9.3
24240,6.73,8.635,9.29
24250,6.74,8.602,9.27
24260,6.74,8.559,9.25
24270,6.74,8.771,9.37
24280,6.74,9.016,9.5
24290,6.75,8.884,9.43
24300,6.75,8.813,9.39
24310,6.75,8.725,9.34
24320,6.76,8.503,9.22
24330,6.76,8.358,9.14
24340,6.76,7.95,8.92
24350,6.76,8.086,8.99
24360,6.77,8.236,9.08
24370,6.77,8.009,8.95
24380,6.77,8.074,8.99
24390,6.78,7.796,8.83
24400,6.78,7.594,8.71
24410,6.78,7.021,8.38
24420,6.78,6.809,8.25
24430,6.79,6.853,8.28
24440,6.79,7.15,8.46
24450,6.79,6.837,8.27
24460,6.79,6.17,7.85
24470,6.8,6.457,8.04
24480,6.8,6.929,8.32
24490,6.8,7.048,8.4
24500,6.81,7.222,8.5
24510,6.81,7.048,8.4
24520,6.81,7.333,8.56
24530,6.81,7.736,8.8
24540,6.82,7.673,8.76
24550,6.82,7.405,8.61
24560,6.82,7.2,8.49
24570,6.83,7.609,8.72
24580,6.83,7.48,8.65
24590,6.83,7.226,8.5
24600,6.83,6.389,7.99
24610,6.84,6.716,8.2
24620,6.84,5.756,7.59
24630,6.84,5.775,7.6
24640,6.84,5.693,7.55
24650,6.85,6.212,7.88
24660,6.85,6.061,7.79
24670,6.85,6.126,7.83
24680,6.86,6.165,7.85
24690,6.86,6.433,8.02
24700,6.86,6.518,8.07
24710,6.86,6.441,8.03
24720,6.87,6.202,7.88
24730,6.87,6.714,8.19
24740,6.87,6.598,8.12
24750,6.88,6.511,8.07
24760,6.88,6.81,8.25
24770,6.88,6.231,7.89
24780,6.88,6.06,7.78
24790,6.89,5.961,7.72
24800,6.89,5.358,7.32
24810,6.89,5.853,7.65
24820,6.89,5.742,7.58
24830,6.9,5.456,7.39
24840,6.9,5.865,7.66
24850,6.9,5.953,7.72
24860,6.91,6.272,7.92
24870,6.91,6.742,8.21
24880,6.91,6.854,8.28
24890,6.91,7.068,8.41
24900,6.92,7.086,8.42
24910,6.92,7.235,8.51
24920,6.92,7.378,8.59
24930,6.92,7.251,8.52
24940,6.93,7.732,8.79
24950,6.93,7.916,8.9
24960,6.93,8.399,9.16
24970,6.94,8.645,9.3
24980,6.94,8.612,9.28
24990,6.94,8.421,9.18
25000,6.94,8.514,9.23
25010,6.95,8.805,9.38
25020,6.95,8.922,9.45
25030,6.95,8.356,9.14
25040,6.96,8.335,9.13
25050,6.96,7.995,8.94
25060,6.96,8.046,8.97
25070,6.96,8.225,9.07
25080,6.97,8.357,9.14
25090,6.97,8.083,8.99
25100,6.97,8.431,9.18
25110,6.97,8.731,9.34
25120,6.98,8.97,9.47
25130,6.98,8.8,9.38
25140,6.98,8.736,9.35
25150,6.99,8.886,9.43
25160,6.99,8.858,9.41
25170,6.99,9.183,9.58
25180,6.99,9.099,9.54
25190,7.0,8.553,9.25
25200,7.0,8.795,9.38
25210,7.0,8.985,9.48
25220,7.01,8.658,9.3
25230,7.01,8.672,9.31
25240,7.01,8.793,9.38
25250,7.01,9.097,9.54
25260,7.02,9.056,9.52
25270,7.02,8.775,9.37
25280,7.02,8.98,9.48
25290,7.03,8.617,9.28
25300,7.03,9.032,9.5
25310,7.03,9.262,9.62
25320,7.03,9.779,9.89
25330,7.04,9.559,9.78
25340,7.04,9.844,9.92
25350,7.04,9.987,9.99
25360,7.04,10.34,10.17
25370,7.05,10.205,10.1
25380,7.05,9.757,9.88
25390,7.05,9.401,9.7
25400,7.06,8.993,9.48
25410,7.06,8.831,9.4
25420,7.06,8.644,9.3
25430,7.06,8.677,9.32
25440,7.07,9.114,9.55
25450,7.07,9.406,9.7
25460,7.07,9.444,9.72
25470,7.08,8.86,9.41
25480,7.08,8.936,9.45
25490,7.08,8.967,9.47
25500,7.08,9.112,9.55
25510,7.09,8.888,9.43
25520,7.09,8.753,9.36
25530,7.09,8.494,9.22
25540,7.09,8.225,9.07
25550,7.1,8.686,9.32
25560,7.1,8.422,9.18
25570,7.1,8.758,9.36
25580,7.11,9.068,9.52
25590,7.11,9.085,9.53
25600,7.11,8.612,9.28
25610,7.11,8.448,9.19
25620,7.12,7.785,8.82
25630,7.12,7.396,8.6
25640,7.12,7.542,8.68
25650,7.12,7.721,8.79
25660,7.13,7.853,8.86
25670,7.13,7.945,8.91
25680,7.13,7.629,8.73
25690,7.14,7.337,8.57
25700,7.14,7.242,8.51
25710,7.14,7.593,8.71
25720,7.14,8.151,9.03
25730,7.15,8.029,8.96
25740,7.15,8.177,9.04
25750,7.15,8.712,9.33
25760,7.16,9.257,9.62
25770,7.16,9.569,9.78
25780,7.16,9.55,9.77
25790,7.16,9.49,9.74
25800,7.17,9.86,9.93
25810,7.17,9.927,9.96
25820,7.17,10.344,10.17
25830,7.17,10.584,10.29
25840,7.18,10.695,10.34
25850,7.18,10.601,10.3
25860,7.18,10.84,10.41
25870,7.19,10.309,10.15
25880,7.19,10.123,10.06
25890,7.19,9.775,9.89
25900,7.19,10.009,10.0
25910,7.2,10.216,10.11
25920,7.2,9.418,9.7
25930,7.2,9.315,9.65
25940,7.21,8.944,9.46
25950,7.21,8.665,9.31
25960,7.21,8.976,9.47
25970,7.21,8.911,9.44
25980,7.22,8.602,9.27
25990,7.22,8.906,9.44
26000,7.22,8.527,9.23
26010,7.22,8.754,9.36
26020,7.23,8.447,9.19
26030,7.23,8.57,9.26
26040,7.23,8.149,9.03
26050,7.24,8.28,9.1
26060,7.24,8.126,9.01
26070,7.24,7.74,8.8
26080,7.24,7.352,8.57
26090,7.25,7.324,8.56
26100,7.25,7.439,8.62
26110,7.25,7.603,8.72
26120,7.26,7.371,8.59
26130,7.26,7.402,8.6
26140,7.26,7.61,8.72
26150,7.26,7.872,8.87
26160,7.27,7.435,8.62
26170,7.27,7.205,8.49
26180,7.27,7.142,8.45
26190,7.28,7.54,8.68
26200,7.28,7.658,8.75
26210,7.28,6.883,8.3
26220,7.28,6.384,7.99
26230,7.29,6.651,8.16
26240,7.29,6.611,8.13
26250,7.29,6.763,8.22
26260,7.29,7.191,8.48
26270,7.3,7.331,8.56
26280,7.3,6.964,8.35
26290,7.3,6.502,8.06
26300,7.31,6.204,7.88
26310,7.31,5.8,7.62
26320,7.31,5.536,7.44
26330,7.31,5.445,7.38
26340,7.32,5.539,7.44
26350,7.32,5.339,7.31
26360,7.32,5.153,7.18
26370,7.33,4.102,6.4
26380,7.33,4.475,6.69
26390,7.33,4.587,6.77
26400,7.33,5.103,7.14
26410,7.34,4.624,6.8
26420,7.34,4.845,6.96
26430,7.34,5.585,7.47
26440,7.34,6.168,7.85
26450,7.35,6.801,8.25
26460,7.35,6.896,8.3
26470,7.35,6.972,8.35
26480,7.36,7.463,8.64
26490,7.36,7.298,8.54
26500,7.36,7.222,8.5
26510,7.36,7.575,8.7
26520,7.37,8.085,8.99
26530,7.37,7.676,8.76
26540,7.37,7.246,8.51
26550,7.38,7.617,8.73
26560,7.38,7.345,8.57
26570,7.38,7.074,8.41
26580,7.38,7.477,8.65
26590,7.39,6.873,8.29
26600,7.39,6.865,8.29
26610,7.39,7.18,8.47
26620,7.39,7.691,8.77
26630,7.4,7.473,8.64
26640,7.4,6.839,8.27
26650,7.4,6.791,8.24
26660,7.41,6.936,8.33
26670,7.41,6.788,8.24
26680,7.41,6.793,8.24
26690,7.41,6.04,7.77
26700,7.42,6.222,7.89
26710,7.42,6.136,7.83
26720,7.42,6.251,7.91
26730,7.42,6.054,7.78
26740,7.43,5.87,7.66
26750,7.43,5.429,7.37
26760,7.43,6.081,7.8
26770,7.44,6.221,7.89
26780,7.44,5.564,7.46
26790,7.44,5.778,7.6
26800,7.44,5.488,7.41
26810,7.45,5.141,7.17
26820,7.45,5.094,7.14
26830,7.45,5.298,7.28
26840,7.46,5.201,7.21
26850,7.46,5.274,7.26
26860,7.46,5.159,7.18
26870,7.46,5.558,7.46
26880,7.47,6.017,7.76
26890,7.47,6.202,7.88
26900,7.47,6.658,8.16
26910,7.47,6.795,8.24
26920,7.48,6.522,8.08
26930,7.48,6.236,7.9
26940,7.48,5.646,7.51
26950,7.49,5.934,7.7
26960,7.49,5.872,7.66
26970,7.49,5.787,7.61
26980,7.49,5.972,7.73
26990,7.5,6.241,7.9
27000,7.5,6.396,8.0
27010,7.5,6.769,8.23
27020,7.51,6.68,8.17
27030,7.51,6.917,8.32
27040,7.51,7.639,8.74
27050,7.51,7.668,8.76
27060,7.52,8.008,8.95
27070,7.52,7.652,8.75
27080,7.52,8.008,8.95
27090,7.53,7.945,8.91
27100,7.53,7.737,8.8
27110,7.53,8.379,9.15
27120,7.53,8.677,9.31
27130,7.54,8.408,9.17
27140,7.54,8.202,9.06
27150,7.54,8.665,9.31
27160,7.54,9.163,9.57
27170,7.55,9.183,9.58
27180,7.55,9.089,9.53
27190,7.55,8.9,9.43
27200,7.56,8.585,9.27
27210,7.56,8.991,9.48
27220,7.56,8.514,9.23
27230,7.56,8.107,9.0
27240,7.57,8.125,9.01
27250,7.57,8.145,9.02
27260,7.57,8.827,9.4
27270,7.58,8.796,9.38
27280,7.58,8.756,9.36
27290,7.58,8.681,9.32
27300,7.58,8.067,8.98
27310,7.59,7.815,8.84
27320,7.59,8.376,9.15
27330,7.59,8.639,9.29
27340,7.59,8.5,9.22
27350,7.6,8.172,9.04
27360,7.6,8.437,9.19
27370,7.6,8.608,9.28
27380,7.61,9.216,9.6
27390,7.61,9.143,9.56
27400,7.61,8.847,9.41
27410,7.61,9.047,9.51
27420,7.62,8.973,9.47
27430,7.62,9.281,9.63
27440,7.62,9.373,9.68
27450,7.62,8.809,9.39
27460,7.63,9.247,9.62
27470,7.63,9.495,9.74
27480,7.63,9.138,9.56
27490,7.64,9.007,9.49
27500,7.64,9.476,9.73
27510,7.64,10.052,10.03
27520,7.64,10.169,10.08
27530,7.65,9.44,9.72
27540,7.65,9.227,9.61
27550,7.65,9.551,9.77
27560,7.66,9.41,9.7
27570,7.66,9.542,9.77
27580,7.66,9.277,9.63
27590,7.66,9.437,9.71
27600,7.67,9.553,9.77
27610,7.67,9.768,9.88
27620,7.67,9.349,9.67
27630,7.67,9.78,9.89
27640,7.68,9.492,9.74
27650,7.68,9.353,9.67
27660,7.68,8.756,9.36
27670,7.69,8.615,9.28
27680,7.69,8.87,9.42
27690,7.69,8.329,9.13
27700,7.69,8.63,9.29
27710,7.7,8.627,9.29
27720,7.7,8.572,9.26
27730,7.7,8.368,9.15
27740,7.71,8.486,9.21
27750,7.71,9.002,9.49
27760,7.71,8.784,9.37
27770,7.71,8.915,9.44
27780,7.72,8.876,9.42
27790,7.72,8.475,9.21
27800,7.72,8.647,9.3
27810,7.72,8.44,9.19
27820,7.73,8.169,9.04
27830,7.73,8.626,9.29
27840,7.73,8.336,9.13
27850,7.74,8.106,9.0
27860,7.74,7.816,8.84
27870,7.74,8.085,8.99
27880,7.74,8.254,9.09
27890,7.75,7.815,8.84
27900,7.75,8.036,8.96
27910,7.75,7.797,8.83
27920,7.76,7.081,8.41
27930,7.76,7.342,8.57
27940,7.76,6.904,8.31
27950,7.76,7.537,8.68
27960,7.77,7.168,8.47
27970,7.77,7.653,8.75
27980,7.77,7.391,8.6
27990,7.78,7.033,8.39
28000,7.78,7.163,8.46
28010,7.78,7.316,8.55
28020,7.78,7.292,8.54
28030,7.79,6.482,8.05
28040,7.79,6.583,8.11
28050,7.79,6.422,8.01
28060,7.79,6.556,8.1
28070,7.8,7.057,8.4
28080,7.8,7.0,8.37
28090,7.8,7.315,8.55
28100,7.81,7.035,8.39
28110,7.81,6.451,8.03
28120,7.81,6.065,7.79
28130,7.81,6.37,7.98
28140,7.82,6.812,8.25
28150,7.82,6.573,8.11
28160,7.82,6.34,7.96
28170,7.83,6.261,7.91
28180,7.83,5.895,7.68
28190,7.83,6.061,7.79
28200,7.83,6.363,7.98
28210,7.84,6.729,8.2
28220,7.84,7.082,8.42
28230,7.84,7.221,8.5
28240,7.84,7.23,8.5
28250,7.85,7.417,8.61
28260,7.85,7.264,8.52
28270,7.85,7.446,8.63
28280,7.86,7.263,8.52
28290,7.86,6.985,8.36
28300,7.86,7.195,8.48
28310,7.86,7.023,8.38
28320,7.87,6.685,8.18
28330,7.87,6.841,8.27
28340,7.87,6.779,8.23
28350,7.88,6.877,8.29
28360,7.88,6.636,8.15
28370,7.88,6.733,8.21
28380,7.88,6.527,8.08
28390,7.89,6.513,8.07
28400,7.89,6.349,7.97
28410,7.89,5.989,7.74
28420,7.89,5.795,7.61
28430,7.9,5.779,7.6
28440,7.9,5.107,7.15
28450,7.9,4.806,6.93
28460,7.91,4.518,6.72
28470,7.91,4.828,6.95
28480,7.91,4.903,7.0
28490,7.91,4.707,6.86
28500,7.92,4.86,6.97
28510,7.92,4.832,6.95
28520,7.92,4.774,6.91
28530,7.92,5.016,7.08
28540,7.93,4.806,6.93
28550,7.93,5.27,7.26
28560,7.93,5.16,7.18
28570,7.94,5.439,7.37
28580,7.94,5.373,7.33
28590,7.94,5.544,7.45
28600,7.94,5.516,7.43
28610,7.95,5.796,7.61
28620,7.95,5.544,7.45
28630,7.95,5.523,7.43
28640,7.96,5.538,7.44
28650,7.96,5.073,7.12
28660,7.96,5.274,7.26
28670,7.96,5.262,7.25
28680,7.97,5.481,7.4
28690,7.97,5.236,7.24
28700,7.97,5.499,7.42
28710,7.97,5.54,7.44
28720,7.98,5.877,7.67
28730,7.98,6.11,7.82
28740,7.98,6.49,8.06
